site,aprt,util,charge,date,total_kwh,start,end
00857A,000001,E,000070272,20151115,000000436,000004651,000005086
00857A,000001,E,000129444,20151115,000000811,000005914,000006724
00857A,000002,E,000014116,20151115,000000081,000001009,000001089
00857A,000002,E,000146064,20151115,000000916,000010078,000010994
00857A,000003,E,000012231,20151115,000000069,000004012,000004081
00857A,000003,E,000021403,20151115,000000127,000001711,000001837
00857A,000004,E,000051809,20151115,000000319,000003158,000003476
00857A,000004,E,000057596,20151115,000000356,000003860,000004216
00857A,000005,E,000062025,20151115,000000384,000007064,000007448
00857A,000006,E,000047804,20151115,000000294,000002746,000003040
00857A,000006,E,000101558,20151115,000000634,000005982,000006615
00857A,000007,E,000058081,20151115,000000359,000003443,000003801
00857A,000007,E,000068506,20151115,000000425,000002740,000003164
00857A,000008,E,000077537,20151115,000000482,000005844,000006326
00857A,000009,E,000006186,20151115,000000030,000000465,000000495
00857A,000009,E,000041395,20151115,000000253,000003161,000003414
00857A,000010,E,000033356,20151115,000000202,000002321,000002523
00857A,000011,E,000031664,20151115,000000192,000001671,000001862
00857A,000012,E,000022305,20151115,000000132,000001604,000001736
00857A,000013,E,000026601,20151115,000000160,000001552,000001712
00857A,000014,E,000091360,20151115,000000570,000004360,000004929
00857A,000015,E,000029103,20151115,000000176,000002002,000002177
00857A,000016,E,000042617,20151115,000000261,000003505,000003766
00857A,000017,E,000042395,20151115,000000260,000002804,000003063
00857A,000018,E,000028462,20151115,000000171,000003654,000003825
00857A,000019,E,000009729,20151115,000000053,000003508,000003560
00857A,000019,E,000037428,20151115,000000228,000002830,000003058
00857A,000020,E,000030737,20151115,000000186,000002252,000002438
00857A,000020,E,000061186,20151115,000000379,000004113,000004491
00857A,000021,E,000034556,20151115,000000210,000002322,000002532
00857A,000022,E,000007945,20151115,000000042,000000499,000000540
00857A,000023,E,000154770,20151115,000000971,000012070,000013041
00857A,000024,E,000080358,20151115,000000500,000003032,000003532
00857A,000025,E,000054285,20151115,000000335,000001382,000001717
00857A,000026,E,000065134,20151115,000000404,000003646,000004049
00857A,000027,E,000021100,20151115,000000125,000002327,000002452
00857A,000028,E,000048653,20151115,000000299,000003526,000003824
00857A,000029,E,000013850,20151115,000000079,000002019,000002098
00857A,000030,E,000035875,20151115,000000218,000002701,000002918
00857A,000031,E,000041194,20151115,000000252,000002587,000002838
00857A,000032,E,000053196,20151115,000000328,000003218,000003546
00857A,000032,E,000056182,20151115,000000347,000002810,000003157
00857A,000033,E,000048982,20151115,000000301,000003591,000003892
00857A,000034,E,000104396,20151115,000000652,000007996,000008647
00857A,000035,E,000120064,20151115,000000751,000008011,000008762
00857A,000036,E,000038123,20151115,000000233,000002927,000003159
00857A,000036,E,000067179,20151115,000000416,000004949,000005365
00857A,000037,E,000017261,20151115,000000101,000001032,000001132
00857A,000038,E,000104856,20151115,000000655,000007620,000008274
00857A,000039,E,000093794,20151115,000000585,000004552,000005136
00857A,000040,E,000099006,20151115,000000618,000006934,000007551
00857A,000041,E,000043156,20151115,000000264,000001978,000002242
00857A,000042,E,000023029,20151115,000000137,000003025,000003162
00857A,000043,E,000049235,20151115,000000303,000002604,000002906
00857A,000044,E,000038859,20151115,000000237,000002836,000003072
00857A,000045,E,000056740,20151115,000000350,000004381,000004731
00857A,000046,E,000002532,20151115,000000007,000000460,000000467
00857A,000047,E,000027532,20151115,000000166,000005357,000005523
00857A,000048,E,000032388,20151115,000000196,000002872,000003068
00857A,000049,E,000055200,20151115,000000341,000003774,000004114
00857A,000050,E,000052401,20151115,000000323,000002502,000002825
00857A,000051,E,000032493,20151115,000000197,000002793,000002990
00857A,000051,E,000311379,20151115,000001962,000020247,000022208
00857A,000052,E,000031781,20151115,000000192,000002700,000002892
00857A,000052,E,000140799,20151115,000000882,000012904,000013786
00857A,000053,E,000029148,20151115,000000176,000000518,000000694
00857A,000054,E,000001451,20151115,000000000,000000454,000000454
00857A,000054,E,000001841,20151115,000000003,000002362,000002365
00857A,000054,E,000074072,20151115,000000460,000004626,000005086
00857A,000054,E,000094513,20151115,000000589,000007403,000007992
00857A,000055,E,000085937,20151115,000000535,000005596,000006131
00857A,000056,E,000056584,20151115,000000349,000005734,000006083
00857A,000057,E,000056946,20151115,000000352,000005003,000005354
00857A,000058,E,000031626,20151115,000000191,000001263,000001454
00857A,000059,E,000013486,20151115,000000077,000000619,000000695
00857A,000060,E,000046801,20151115,000000288,000003235,000003522
00857A,000061,E,000028987,20151115,000000175,000003143,000003317
00857A,000061,E,000032864,20151115,000000199,000002692,000002891
00857A,000062,E,000047968,20151115,000000295,000002846,000003141
