apt,meter_num,cons_last,cons_first,cons,charge,common_amount,total_amount
1,46214899,6724,5914,810,127993,1453,129446
2,06002204,10993,10078,915,144613,1453,146066
3,06002129,4080,4012,68,10780,1453,12233
4,06002193,3476,3157,319,50358,1453,51811
5,06002206,7447,7064,383,60574,1453,62027
6,06002172,6615,5981,634,100107,1453,101560
7,06002178,3164,2739,424,67055,1453,68508
8,06002190,6325,5844,482,76086,1453,77539
9,06002208,495,465,30,4735,1453,6188
10,06002168,2523,2321,202,31905,1453,33358
11,06002196,1861,1670,191,30213,1453,31666
12,06002067,1736,1604,132,20854,1453,22307
13,06002066,1711,1552,159,25150,1453,26603
14,06002118,4929,4359,569,89908,1453,91361
15,06002119,2177,2002,175,27652,1453,29105
16,06002117,3765,3505,261,41165,1453,42618
17,06002072,3062,2803,259,40944,1453,42397
18,06002161,3825,3654,171,27012,1453,28465
19,06002182,3560,3507,52,8278,1453,9731
20,06002203,2437,2252,185,29287,1453,30740
21,06002170,2531,2322,210,33106,1453,34559
22,06002107,540,499,41,6494,1453,7947
23,06002162,13040,12070,970,153318,1453,154771
24,06002165,3531,3032,499,78907,1453,80360
25,06002171,1716,1382,334,52834,1453,54287
26,06002198,4049,3646,403,63683,1453,65136
27,06002209,2451,2327,124,19649,1453,21102
28,06002188,3824,3525,299,47203,1453,48656
29,06002200,2097,2019,78,12400,1453,13853
30,06002213,2918,2700,218,34423,1453,35876
31,06002169,2838,2586,252,39743,1453,41196
32,06002210,3156,2810,346,54731,1453,56184
33,06002130,3892,3591,301,47531,1453,48984
34,06002201,8647,7995,652,102945,1453,104398
35,06002177,8761,8011,751,118612,1453,120065
36,06002167,5364,4948,416,65728,1453,67181
37,06002070,1131,1031,100,15809,1453,17262
38,06002071,8274,7619,654,103405,1453,104858
39,06002214,5136,4551,584,92343,1453,93796
40,06002156,7551,6934,617,97556,1453,99009
41,06002116,2242,1978,264,41706,1453,43159
42,06002181,3161,3025,137,21578,1453,23031
43,06002068,2906,2603,302,47784,1453,49237
44,06002069,3072,2835,237,37408,1453,38861
45,06002185,4731,4381,350,55289,1453,56742
46,06002163,466,459,7,1081,1453,2534
47,06002102,5522,5357,165,26081,1453,27534
48,06002176,3068,2872,196,30936,1453,32389
49,06002189,4114,3774,340,53748,1453,55201
50,06002108,2824,2502,322,50950,1453,52403
51,06002183,22208,20246,1962,309928,1453,311381
52,06002106,13785,12903,882,139348,1453,140801
53,06002114,693,518,175,27697,1453,29150
54,06002205,5085,4626,460,72622,1453,74075
54,06002112,7992,7403,589,93062,1453,94515
54,06002207,2364,2362,2,390,1453,1843
55,06002194,6130,5596,535,84486,1453,85939
56,06002166,6082,5733,349,55133,1453,56586
57,06002199,5354,5002,351,55496,1453,56949
58,06002212,1454,1263,191,30175,1453,31628
59,06002202,695,619,76,12035,1453,13488
60,06002104,3521,3234,287,45349,1453,46802
61,06002184,3317,3142,174,27536,1453,28989
62,06002160,3140,2846,294,46517,1453,47970
9,06002180,3413,3160,253,39944,1453,41397
3,06002179,1837,1711,126,19952,1453,21405
1,06002175,5086,4650,436,68822,1453,70275
4,06002127,4215,3860,355,56145,1453,57598
19,06002109,3058,2830,228,35977,1453,37430
20,06002113,4490,4112,378,59735,1453,61188
2,06002192,1089,1009,80,12665,1453,14118
6,06002173,3039,2746,293,46352,1453,47805
51,06002191,2989,2793,196,31042,1453,32495
36,06002197,3159,2927,232,36672,1453,38125
32,06002110,3545,3218,328,51745,1453,53198
7,06002187,3801,3442,358,56630,1453,58083
52,06002164,2891,2699,meter_it,30330,1453,31783
61,06002195,2890,2692,199,31414,1453,32867
54,06002174,453,453,0,0,1453,1453
